//ID#Nome_do_Sprite#							Nome da Ilustracao (kRO)		Nome da Carta (bRO)
4001#Poring_Card#						//		Æ÷¸µÄ«µå					|		Carta Poring
//29262#Sem_DB#							//		sorry					|
//29263#Sem_DB#							//		sorry					|
//29264#Sem_DB#							//		sorry					|
//29265#Sem_DB#							//		sorry					|
//29266#Sem_DB#							//		sorry					|
//29267#Sem_DB#							//		sorry					|
//29268#Sem_DB#							//		sorry					|
//29269#Sem_DB#							//		sorry					|
//29270#Sem_DB#							//		sorry					|
//29271#Sem_DB#							//		sorry					|
//29272#Sem_DB#							//		sorry					|
//29273#Sem_DB#							//		sorry					|
//29274#Sem_DB#							//		sorry					|
//29275#Sem_DB#							//		sorry					|
//29276#Sem_DB#							//		sorry					|
//29277#Sem_DB#							//		sorry					|
//29278#Sem_DB#							//		sorry					|
//29279#Sem_DB#							//		sorry					|
//29280#Sem_DB#							//		sorry					|
//29281#Sem_DB#							//		sorry					|
//29282#Sem_DB#							//		sorry					|
//29300#Sem_DB#							//		sorry					|
//31000#Sem_DB#							//		·çµµÄ«µå					|
//31001#Sem_DB#							//		¿©Àü»ç·Î¶óÄ«µå				|
//31002#Sem_DB#							//		¿¤ºñ¾ÆÄ«µå					|
//31003#Sem_DB#							//		Áö¿ÀÀÌ¾ÆÄ«µå					|
//31004#Sem_DB#							//		È£À§¹«»ç¼ÒÇöÄ«µå				|
//31005#Sem_DB#							//		Àå±º´ëÇöÄ«µå					|
31006#LoVA_Hades_Card#					//		LoVAÇÏµ¥½ºÄ«µå				|		LoVA Hades Card
31007#LoVA_Realization_Hades_Card#		//		LoVAÁøÈ­ÇÏµ¥½ºÄ«µå			|		LoVA Realization Hades Card
31008#LoVA_Lulu_Card#					//		LoVA·ç·çÄ«µå				|		LoVA Lulu Card
31009#LoVA_Realization_Lulu_Card#		//		LoVAÁøÈ­·ç·çÄ«µå				|		LoVA Realization Lulu Card
31010#LoVA_Kima_Card#					//		LoVAÅ°¸¶Ä«µå				|		LoVA Kima Card
31011#LoVA_Realization_Kima_Card#		//		LoVAÁøÈ­Å°¸¶Ä«µå				|		LoVA Realization Kima Card
31012#LoVA_Bahamut_Card#				//		LoVA¹ÙÇÏ¹«Æ®Ä«µå				|		LoVA Bahamut Card
31013#LoVA_Realization_Bahamut_Card#	//		LoVAÁøÈ­¹ÙÇÏ¹«Æ®Ä«µå			|		LoVA Realization Bahamut Card
31014#LoVA_Ragnarok_Card#				//		LoVA¶ó±×³ª·ÎÅ©Ä«µå			|		LoVA Ragnarok Card
31015#LoVA_Realization_Ragnarok_Card#	//		LoVAÁøÈ­¶ó±×³ª·ÎÅ©Ä«µå			|		LoVA Realization Ragnarok Card
31016#Decorated_Evil_Tree_Card#			//		Àå½ÄµÈ¾Ç·É³ª¹«Ä«µå				|		Evil Decorated Tree Card
31017#Vicious_Cookie_Card#				//		Æ÷¾ÇÇØÁøÄíÅ°Ä«µå				|		Tyrannical Cookie Card
31018#Evil_Dwelling_Box_Card#			//		¾Ç·É±êµç»óÀÚÄ«µå				|		Evil Imbued Box Card
31019#Creepy_Demon_Card#				//		¼¶¶àÇÑ¾Ç·ÉÄ«µå				|		Spooky Spirit Card
31020#Malicious_Baby_Ghost_Card#		//		¾ÇÀÇ¿¡ÂùÀ¯·ÉÄ«µå				|		Evil Cold Ghost Card
31021#Dancing_Marionette_Card#			//		ÃãÃß´Â¸¶¸®¿À³×Æ®Ä«µå				|		Dancing Marionette Card
31022#Abandoned_Teddy_Bear_Card#		//		¹ö·ÁÁø°õÀÎÇüÄ«µå				|		Abandoned Teddy Bear Card
31023#Celine_Kimi_Card#					//		¼¿¸°´ÀÅ°¹ÌÄ«µå				|		Celine Kimi Card
27126#boitata_card#							//		º¸ÀÌÅ¸Å¸Ä«µå					|   Carta Boitata
//31024##								//		ºÒ¸êÀÇÀúÁÖ¹ÞÀº±â»çÄ«µå			|
//31025##								//		ºÒ¸êÀÇÀ©µå°í½ºÆ®Ä«µå				|
//31026##								//		½ºÅ×ÆÇÄ«µå					|
